,Topic,Words,Frequency,Timestamp
221,33,"sda, bus, tote, menschen, ums",88,2014-01-01 06:00:00.000
222,34,"sierra, leone, guinea, epidemie, erreger",13,2014-01-01 06:00:00.000
223,35,"gesperrt, baustelle, pd, guisanplatz, allmendstrasse",49,2014-01-01 06:00:00.000
224,36,"handicap, rollstuhlfahrer, rollstuhl, behinderte, bundesverwaltungsgericht",53,2014-01-01 06:00:00.000
225,-1,"corona, sagt, stadt, foto, pandemie",8129,2018-12-31 03:00:00.000
226,0,"co2, elektroautos, tesla, suv, batterie",2329,2018-12-31 03:00:00.000
227,1,"verletzt, unfall, sda, spital, kantonspolizei",544,2018-12-31 03:00:00.000
228,2,"sbb, bahn, ga, ducrot, corona",725,2018-12-31 03:00:00.000
229,3,"boeing, swiss, us, flughafen, fliegen",715,2018-12-31 03:00:00.000
230,4,"sp, partei, fdp, svp, brander",444,2018-12-31 03:00:00.000
231,5,"us, kabul, afghanistan, soldaten, land",251,2018-12-31 03:00:00.000
232,6,"beschuldigte, gericht, staatsanwaltschaft, beschuldigten, freiheitsstrafe",299,2018-12-31 03:00:00.000
233,7,"polizei, khan, mann, polizisten, verfolgungsjagd",220,2018-12-31 03:00:00.000
234,8,"schnee, lawinen, co2, skigebiete, bergbahnen",248,2018-12-31 03:00:00.000
235,9,"brander, iten, osttangente, mathys, stadt",171,2018-12-31 03:00:00.000
236,10,"brand, feuer, feuerwehr, stauffer, flammen",176,2018-12-31 03:00:00.000
237,11,"polizei, km, polizisten, stadtpolizei, geldtransporter",127,2018-12-31 03:00:00.000
238,12,"unfall, stirbt, sda, ums, verletzt",114,2018-12-31 03:00:00.000
239,13,"parkieren, zone, parking, parkplatz, blaue",190,2018-12-31 03:00:00.000
240,14,"schulweg, kinder, eltern, schule, hsg",116,2018-12-31 03:00:00.000
241,15,"tunnel, basistunnel, gotthard, rieder, tunnels",130,2018-12-31 03:00:00.000
242,16,"us, aktien, anleger, investoren, sda",85,2018-12-31 03:00:00.000
243,17,"wm, tour, iok, ironman, spiele",94,2018-12-31 03:00:00.000
244,18,"bikes, velofahrer, velofahrende, scooter, bfu",93,2018-12-31 03:00:00.000
245,19,"langstrasse, moosseedorf, verkehr, bvd, aeschenplatz",78,2018-12-31 03:00:00.000
246,21,"tiere, tier, wolf, zoo, alex",92,2018-12-31 03:00:00.000
247,22,"motorrad, motorradfahrer, spielgruppe, kollision, jr",26,2018-12-31 03:00:00.000
248,23,"bridge, themse, bauwerk, boa, bvb",65,2018-12-31 03:00:00.000
249,24,"formel, hamilton, bull, ferrari, rennen",88,2018-12-31 03:00:00.000
250,25,"corona, ausgaben, budget, iwf, millionen",29,2018-12-31 03:00:00.000
251,26,"eu, leyen, ewr, rahmenvertrag, abkommen",27,2018-12-31 03:00:00.000
252,27,"expo, open, festivals, museum, festival",41,2018-12-31 03:00:00.000
253,28,"tempo, 30, temporeduktion, zonen, stadtrat",97,2018-12-31 03:00:00.000
254,29,"velo, velos, velorouten, bikes, velostrassen",103,2018-12-31 03:00:00.000
255,30,"google, maps, id, app, abschaltung",81,2018-12-31 03:00:00.000
256,31,"macron, sncf, gewerkschaften, streik, tpg",31,2018-12-31 03:00:00.000
257,32,"china, peking, chinas, taiwan, chinesischen",64,2018-12-31 03:00:00.000
258,33,"busunfall, bus, venedig, mindestens, ums",44,2018-12-31 03:00:00.000
259,34,"corona, covid, coronavirus, virus, pandemie",289,2018-12-31 03:00:00.000
260,35,"monbijoustrasse, aarwangenstrasse, zoller, seftigenstrasse, langenthal",12,2018-12-31 03:00:00.000
261,36,"rollstuhl, behinderung, haltestellen, handicap, rollstuhlfahrer",46,2018-12-31 03:00:00.000
