,Topic ID,time span,keywords
20,2,4,"[(0.010658438683165896, 'Frau'), (0.008647513940543068, 'Leute'), (0.008269582881850496, 'Mensch'), (0.006711192670434464, 'Zeit'), (0.0063691090274697985, 'Kind'), (0.006158360304922305, 'Mann'), (0.005900447088798964, 'tun'), (0.005328525493301537, 'gut'), (0.004995941462087012, 'finden'), (0.004489064992440194, 'arbeiten'), (0.004481905341610095, 'Leben'), (0.0044651151788172765, 'nehmen'), (0.004368539730818521, 'jung'), (0.004217926338205256, 'denken'), (0.004140727717313481, 'leben'), (0.00412797882428794, 'lassen'), (0.004106979829509969, 'Tag'), (0.00407913098027138, 'Problem'), (0.00407429511297606, 'Familie'), (0.004055639829501733, 'alt')]"
21,2,5,"[(0.010598094719140135, 'Frau'), (0.009212907815972528, 'Mensch'), (0.008334317022498846, 'Leute'), (0.006694372052344036, 'Zeit'), (0.006531918613214461, 'Kind'), (0.006111512895269972, 'Mann'), (0.005935205959295968, 'tun'), (0.0052912060867252135, 'gut'), (0.005020305297953027, 'finden'), (0.004893041395570987, 'Leben'), (0.004744184555100641, 'arbeiten'), (0.004467289791799339, 'leben'), (0.0044449083875818625, 'nehmen'), (0.004339376993866244, 'jung'), (0.0043177815930364695, 'Familie'), (0.004271250505574562, 'denken'), (0.004100622095602369, 'Tag'), (0.004067110354229233, 'Haus'), (0.00405198359192164, 'lassen'), (0.0040461469896245815, 'alt')]"
22,2,6,"[(0.01088481301413119, 'Mensch'), (0.010509521986240873, 'Frau'), (0.008030411707867235, 'Leute'), (0.006661833963467115, 'Zeit'), (0.006578798959456009, 'Kind'), (0.006050195945850259, 'Mann'), (0.005946745822900231, 'tun'), (0.005248486181476044, 'Leben'), (0.005197715986223261, 'gut'), (0.005013903869497638, 'finden'), (0.0049328686806685874, 'arbeiten'), (0.004725351193594303, 'leben'), (0.004497108813320687, 'Familie'), (0.004405851091470847, 'nehmen'), (0.004303179557134974, 'jung'), (0.004297952488264379, 'denken'), (0.004229726787464507, 'brauchen'), (0.004147531475735783, 'Tag'), (0.004137903616049797, 'Haus'), (0.003999690066400435, 'alt')]"
23,2,7,"[(0.012580925829534973, 'Mensch'), (0.010428562611287108, 'Frau'), (0.007889596518076478, 'Leute'), (0.006626779884984442, 'Zeit'), (0.006553712481564704, 'Kind'), (0.005998026087923082, 'Mann'), (0.005934718884811206, 'tun'), (0.0054388083807099, 'Leben'), (0.005099539364503302, 'gut'), (0.005027499371636371, 'arbeiten'), (0.004990762333559128, 'finden'), (0.00486613892037287, 'leben'), (0.004592457209467812, 'Familie'), (0.0043653805135685465, 'nehmen'), (0.004350703313930914, 'brauchen'), (0.00429382466441521, 'Tag'), (0.004290136873768475, 'denken'), (0.004271128533997977, 'jung'), (0.004171721692806077, 'Haus'), (0.003940034155730112, 'alt')]"
24,3,0,"[(0.013883559366799846, 'Gemeinderat'), (0.01339350654113748, 'Stadtrat'), (0.012090389649464899, 'Gemeinde'), (0.011141481218443617, 'Projekt'), (0.008750342948909291, 'Stadt'), (0.00650991408156727, 'Kanton'), (0.0059501747033392765, 'Bau'), (0.0056633744572418265, 'Million'), (0.0047741938710807895, 'bauen'), (0.004530603988749396, 'Massnahm'), (0.0038680063966870944, 'Anwohner'), (0.0038119808336257665, 'geplant'), (0.0038091284601461045, 'Meter'), (0.0034837231875364414, 'Ende'), (0.0034296972746920076, 'erklären'), (0.0034138162674371047, 'Brücke'), (0.0033486933555601146, 'Quartier'), (0.0033461845389505668, 'Lösung'), (0.0033295044519688157, 'kantonal'), (0.003303478852823425, 'Parkplatz')]"
25,3,1,"[(0.013983976852895241, 'Gemeinderat'), (0.012196901978075833, 'Gemeinde'), (0.01213823975952848, 'Stadtrat'), (0.011223968420699436, 'Projekt'), (0.008895447577400668, 'Stadt'), (0.006592004886189174, 'Kanton'), (0.005972659384418564, 'Bau'), (0.005670300734434793, 'Million'), (0.004826785040538547, 'bauen'), (0.004488666480821163, 'Massnahm'), (0.00391639500130906, 'Anwohner'), (0.0038435282837587844, 'Meter'), (0.003832827892730968, 'geplant'), (0.0035113817180602224, 'Ende'), (0.0034238082754901784, 'Quartier'), (0.0034173781397111615, 'Brücke'), (0.003378424645741338, 'erklären'), (0.003363358275939249, 'Parkplatz'), (0.0033528630988554466, 'Lösung'), (0.003278242674535623, 'kantonal')]"
26,3,2,"[(0.014131961413965185, 'Gemeinderat'), (0.012383423790664273, 'Gemeinde'), (0.01135427603918948, 'Projekt'), (0.00973342590756781, 'Stadtrat'), (0.009180854608665932, 'Stadt'), (0.006748358962443049, 'Kanton'), (0.005999779429948317, 'Bau'), (0.005678136460995392, 'Million'), (0.004924753305270209, 'bauen'), (0.0043862216658026466, 'Massnahm'), (0.00400945965908633, 'Anwohner'), (0.0039057950135590117, 'Meter'), (0.003865781958371683, 'geplant'), (0.0035870074162707953, 'Quartier'), (0.0035604859325570662, 'Ende'), (0.0034905701246550264, 'Parkplatz'), (0.003416383792992508, 'Brücke'), (0.003368439525968279, 'Platz'), (0.0033566244989770965, 'Lösung'), (0.003344896473549144, 'führen')]"
27,3,3,"[(0.014292773371083102, 'Gemeinderat'), (0.012672179388873774, 'Gemeinde'), (0.011520323661627502, 'Projekt'), (0.009624640064349002, 'Stadt'), (0.006985832371053246, 'Kanton'), (0.006663121424481595, 'Stadtrat'), (0.00601949232764934, 'Bau'), (0.005689712590150775, 'Million'), (0.005065563186778177, 'bauen'), (0.004204523903818404, 'Massnahm'), (0.0041470286832755165, 'Anwohner'), (0.003992114244577234, 'Meter'), (0.003903213053298212, 'geplant'), (0.0038644361544277086, 'Quartier'), (0.0037038592276387463, 'Parkplatz'), (0.003637267991484361, 'Platz'), (0.0036263596702800697, 'Ende'), (0.0034556966046649304, 'führen'), (0.0034035068041861805, 'Brücke'), (0.003399246199062674, 'Bahnhof')]"
28,3,4,"[(0.01415365088665579, 'Gemeinderat'), (0.012713815393844927, 'Gemeinde'), (0.01163402105790846, 'Projekt'), (0.0105812648446717, 'Stadt'), (0.00719622079124244, 'Kanton'), (0.006010913440319945, 'Bau'), (0.005850990187404405, 'Million'), (0.005200063248353067, 'bauen'), (0.005039624104624448, 'Stadtrat'), (0.004288849446972104, 'Anwohner'), (0.0042610878218980255, 'Quartier'), (0.004069955880345294, 'Meter'), (0.00401383483793138, 'Parkplatz'), (0.003984501446745003, 'Platz'), (0.003912463300990166, 'geplant'), (0.003850547117659105, 'Massnahm'), (0.003727791652397885, 'planen'), (0.0036764423486456608, 'Ende'), (0.0036050671892245145, 'führen'), (0.003459701393781717, 'Bahnhof')]"
29,3,5,"[(0.013459038264415026, 'Gemeinderat'), (0.012632177204458602, 'Stadt'), (0.012350915693317619, 'Gemeinde'), (0.01176268024111724, 'Projekt'), (0.0073947980706759, 'Kanton'), (0.005994659442820235, 'Bau'), (0.005862353357854678, 'Million'), (0.005295199150574965, 'bauen'), (0.0046755816372468185, 'Quartier'), (0.004651576260065249, 'Stadtrat'), (0.004463811646734153, 'Parkplatz'), (0.004416282915432392, 'Platz'), (0.004399429495657972, 'Anwohner'), (0.0041357675970837005, 'planen'), (0.004125021648021029, 'Meter'), (0.0038955740290424366, 'geplant'), (0.003801200137928315, 'führen'), (0.003709197147137367, 'Ende'), (0.003497442909861408, 'Bahnhof'), (0.0034958080049498955, 'Massnahm')]"
